title,page_id,char_count,word_count,sentence_count,syllable_count,complex_word_count,ARI,CLI,FRE,FKG,GFI,LIX,SMOG,section_count,subsection_count,paragraph_count,mean_section_size,mean_paragraph_size,longest_section_size,shortest_section_size,abstract_size,abstract_text_ratio,citation_count,citation_per_text,external_link_count,internal_link_count,link_per_text,image_count,image_per_text,infobox,mean_sentence_size,largest_sentence_size,shortest_sentence_size,question_count,exclamation_count,pronoun_start_count,pronoun_start_count_sentence_ratio,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,review_per_day,review_per_user,revert_count,discussion_count,quality
Statue of Liberty,28617,58690,10897,360,14879,1325,13.2,11.31,58.42,10.4,11.07,50.51,12.9,12,16,83,4720.0,708.3493975903615,20904,20,2838,0.048355767592434824,140,0.002385414891804396,2,399,0.006832509797239734,24,0.0004089282671664679,1,161.9638888888889,640,23,1,3,16,0.044444444444444446,8284,10073,4357,2010,2347,3737,1.215958474167069,2.3119118659628186,2275,1500,1
Messiah (Handel),149131,47147,8795,233,11951,1156,16.2,12.25,45.29,13.4,13.23,57.2,14.4,11,14,58,4146.363636363636,814.2758620689655,12913,1594,2045,0.04337497613846056,216,0.004581415572570895,4,326,0.006999384902538867,11,0.00023331283008462891,1,201.35622317596565,585,21,4,1,14,0.060085836909871244,7891,2196,917,507,410,796,0.27829172474971486,2.3947655398037075,390,267,1
Janet Jackson,60070,75381,14310,450,18835,1581,14.0,12.07,58.62,10.3,10.84,52.15,12.5,12,17,166,6049.75,454.6566265060241,28561,36,3913,0.051909632400737586,473,0.006274790729759489,11,764,0.010281105318316287,10,0.00013265942346214564,1,166.60444444444445,522,7,12,4,59,0.13111111111111112,8032,13526,4038,1939,2099,3313,1.6840139442231075,3.3496780584447747,1780,1164,1
Blade Runner,3746,44871,8351,268,11216,1030,13.1,11.78,59.84,9.8,11.06,49.93,12.7,16,17,81,2699.0625,555.0987654320987,11129,12,2348,0.052327784092175346,221,0.00492523010407613,5,513,0.01154420449733681,6,0.00013371665440930667,1,166.44776119402985,1084,7,8,1,23,0.08582089552238806,8269,8407,3148,1621,1527,2697,1.0166888378280323,2.670584498094028,1156,1180,1
Kelpie,199921,15385,2890,66,3784,258,16.4,11.15,50.4,13.5,14.33,56.35,12.8,7,5,24,2069.5714285714284,642.3333333333334,9785,577,1124,0.07305817354566135,3,0.00019499512512187196,0,99,0.0064348391290217745,4,0.0002599935001624959,0,232.12121212121212,721,77,0,0,1,0.015151515151515152,7768,1305,533,268,265,480,0.1679969104016478,2.448405253283302,150,284,1
John Barrymore,68065,51698,10016,317,13001,1193,13.1,10.85,58.21,10.5,10.88,49.25,13.0,5,9,62,10033.6,834.741935483871,43670,30,1989,0.038473441912646525,85,0.0016441641843011334,4,359,0.00702154822236837,21,0.000406205269062633,1,162.1230283911672,551,2,3,0,43,0.13564668769716087,7997,1912,718,443,276,604,0.23908965862198325,2.6629526462395545,169,102,1
Sovereign (British coin),266325,35276,6700,189,8684,682,14.0,10.62,63.53,10.5,11.81,49.32,12.7,12,4,47,2742.5,751.6170212765958,10824,379,2802,0.07943077446422497,46,0.0013040027213969839,1,218,0.006208186869259553,13,0.00036852250822088674,1,185.65079365079364,499,50,0,0,5,0.026455026455026454,7655,1002,444,282,162,387,0.13089483997387327,2.2567567567567566,65,61,1
George Mason,224314,71113,13053,369,18175,1736,15.5,12.25,46.3,13.0,12.18,55.1,14.1,12,10,90,5711.5,790.9555555555555,43168,1233,3181,0.0447316243162291,26,0.00036561528834390335,4,299,0.0042608243218539505,9,0.00012655913827288963,1,191.71273712737127,590,27,3,0,31,0.08401084010840108,7719,2516,1169,526,643,1008,0.3259489571187978,2.152266894781865,619,109,1
Apollo 16,1970,53487,10045,300,13445,1092,13.2,11.02,57.91,10.6,10.93,48.64,12.4,13,13,64,3996.076923076923,836.96875,11098,1265,2227,0.04163628545253987,129,0.0024118009983734364,1,337,0.006319292538373811,17,0.0003178342400957242,1,177.29666666666665,549,16,0,2,5,0.016666666666666666,8312,1425,600,409,191,519,0.17143888354186718,2.375,142,96,1
1896 Summer Olympics,48644,28310,5215,179,6817,565,13.2,11.6,59.03,10.1,10.64,49.22,12.2,13,12,61,2005.5384615384614,465.62295081967216,12810,271,2800,0.09890498057223596,63,0.002225362062875309,6,283,0.01020840692334864,24,0.0008477569763334511,1,157.2849162011173,570,21,0,0,6,0.0335195530726257,8113,2362,1136,618,518,984,0.2911376802662394,2.079225352112676,405,178,1
Banff National Park,209131,42016,7511,245,10317,980,14.1,12.53,58.82,10.2,10.9,52.52,13.1,12,22,75,3366.8333333333335,561.8133333333334,10111,1070,2458,0.058501523229246004,183,0.004355483625285606,0,412,0.009805788271134807,23,0.0005474105102817974,1,170.51020408163265,563,49,0,0,1,0.004081632653061225,7747,2150,819,472,347,698,0.2775267845617658,2.625152625152625,381,145,1
Imagism,103246,15360,2875,90,3946,381,13.1,11.37,50.36,11.4,11.73,51.49,13.2,9,0,30,1515.4444444444443,512.9666666666667,3456,17,1924,0.12526041666666668,56,0.0036458333333333334,3,120,0.0080078125,4,0.00026041666666666666,0,169.72222222222223,503,14,0,0,5,0.05555555555555555,7928,904,360,230,130,313,0.11402623612512613,2.511111111111111,91,88,1
Lady Gregory,221377,14046,2719,79,3548,299,14.2,10.86,55.47,11.5,12.73,51.58,13.1,6,8,20,2208.1666666666665,704.0,11102,56,1083,0.07710380179410509,66,0.004698846646732166,9,110,0.00847216289335042,1,7.119464616260858e-05,1,176.83544303797467,513,46,0,1,21,0.26582278481012656,7725,808,342,255,87,295,0.10459546925566343,2.3625730994152048,58,70,1
Germanium,12242,25851,4427,151,6790,870,15.0,14.56,35.17,13.1,11.51,56.47,15.0,10,7,60,2416.4,432.1666666666667,8394,1545,2101,0.08127345170399598,155,0.005995899578352868,11,325,0.012997562956945572,9,0.0003481490077753278,1,170.19867549668874,573,52,0,0,2,0.013245033112582781,8442,2542,1105,591,514,976,0.3011134802179578,2.3004524886877826,484,147,1
Frigatebird,183143,23246,4087,141,5508,421,13.5,12.59,59.74,9.9,10.97,48.07,11.7,10,9,40,2186.7,582.575,7783,1107,1828,0.07863718489202444,125,0.005377269207605609,5,209,0.009205884883420803,13,0.0005592359975909834,0,163.86524822695034,465,38,0,0,2,0.014184397163120567,7804,976,365,245,120,316,0.12506406970784215,2.673972602739726,104,74,1
Appaloosa,81740,30363,5467,167,7514,652,14.9,12.77,48.43,12.1,11.64,53.11,13.0,10,9,42,2844.3,724.3333333333334,10111,2101,2363,0.07782498435595955,119,0.0039192438164871715,0,209,0.006883377795343016,19,0.000625761617758456,1,180.7245508982036,484,32,0,0,0,0.0,7964,1967,594,328,266,514,0.24698643897538924,3.3114478114478114,241,410,1
Leo Ornstein,216986,14849,2828,112,3691,333,12.7,11.89,61.06,9.4,11.12,49.74,12.3,9,0,22,1550.7777777777778,676.0909090909091,6989,1761,1017,0.06848946056973533,54,0.003636608525826655,6,78,0.005656946595730353,0,0.0,1,131.66071428571428,439,3,1,0,12,0.10714285714285714,7733,692,281,190,91,245,0.08948661580240527,2.4626334519572954,66,63,1
Mayfly,246333,30062,5480,163,7237,624,14.2,11.95,57.61,10.7,12.19,51.63,12.7,9,15,58,3205.0,519.6206896551724,8100,2124,1768,0.05881178896946311,129,0.004291131661233451,4,354,0.011908721974585855,6,0.00019958751912713726,0,183.44171779141104,1064,30,0,0,0,0.0,7684,1593,800,434,366,708,0.2073138990109318,1.99125,263,98,1
Texas Revolution,38711,67330,12159,463,17327,1842,12.7,11.95,51.89,10.8,10.02,49.82,13.4,13,14,87,4944.307692307692,774.8620689655172,13877,2938,3812,0.0566166641912966,407,0.006044853705628991,0,263,0.003906133967028071,13,0.0001930788652903609,1,144.05831533477323,495,17,0,4,13,0.028077753779697623,8173,3939,1695,741,954,1437,0.48195277132020065,2.3238938053097344,801,775,1
Huldrych Zwingli,13602,53400,9684,391,13230,1261,13.1,12.53,52.29,10.7,10.73,51.52,12.7,14,12,113,3710.4285714285716,473.24778761061947,24036,1056,2204,0.041273408239700375,133,0.00249063670411985,21,280,0.005636704119850187,13,0.00024344569288389513,1,135.58567774936063,1755,5,0,1,52,0.1329923273657289,8332,2143,904,526,378,789,0.25720115218434947,2.370575221238938,278,196,1
Battle of Milne Bay,179516,52910,9670,298,13068,1149,14.6,11.67,55.37,11.5,11.68,53.53,13.3,9,12,57,5648.555555555556,929.3333333333334,23725,4338,2520,0.04762804762804763,0,0.0,0,241,0.004554904554904555,11,0.0002079002079002079,1,176.55369127516778,639,11,0,0,11,0.03691275167785235,7813,1136,319,219,100,271,0.14539869448355305,3.561128526645768,89,172,1
Paul Tibbets,199511,28291,5349,173,7024,605,12.1,10.5,59.23,10.1,10.59,48.67,12.3,11,1,45,2415.4545454545455,629.5555555555555,8265,1712,2036,0.07196634972252659,56,0.0019794280866706725,0,311,0.010992895267046056,8,0.0002827754409529532,1,162.4971098265896,778,18,0,0,39,0.2254335260115607,7769,2048,912,484,428,776,0.2636117904492213,2.245614035087719,401,219,1
Germany,11867,55069,9649,314,13949,1445,14.4,13.63,51.68,10.9,11.16,54.28,13.5,11,25,93,4816.090909090909,593.5376344086021,17013,698,3026,0.05494924549201911,331,0.006010641195590986,14,1108,0.02037443933973742,29,0.000526612068495887,1,174.38216560509554,890,19,0,0,2,0.006369426751592357,8266,21432,6716,3913,2804,5481,2.5927897411081537,3.191185229303157,3487,7272,1
Gray's Inn,207886,36390,7085,177,9062,640,14.6,9.75,60.99,11.5,12.74,51.24,12.5,8,11,59,4332.25,617.8474576271186,14901,772,2193,0.060263808738664465,171,0.004699093157460841,0,249,0.0068425391591096455,11,0.0003022808463863699,0,204.59887005649716,724,4,0,0,1,0.005649717514124294,7750,726,323,216,107,280,0.09367741935483871,2.2476780185758516,81,106,1
Isidor Isaac Rabi,196999,27397,5103,192,7111,710,12.3,11.43,51.99,10.8,10.41,49.58,13.1,10,4,38,2509.7,722.1052631578947,8888,447,2567,0.0936963901157061,26,0.000949009015585648,0,317,0.011570609920794247,4,0.00014600138701317662,1,141.703125,756,5,2,0,32,0.16666666666666666,7774,797,401,298,103,354,0.10252122459480319,1.9875311720698254,57,60,1
Bedřich Smetana,140422,48947,8984,282,12209,1122,14.9,12.48,56.49,11.1,12.22,54.62,13.5,19,26,63,2475.8947368421054,778.6666666666666,12555,1033,2769,0.05657139354812348,283,0.005781763948760905,1,164,0.0033709931150019408,19,0.00038817496475779923,0,172.5921985815603,474,41,0,1,46,0.16312056737588654,7915,1627,595,379,216,512,0.20555906506632976,2.734453781512605,140,134,1
Zenobia,43382,54978,9930,282,13970,1445,15.7,13.29,47.93,12.3,12.17,59.27,14.4,28,24,95,1939.607142857143,579.8210526315789,5553,560,1657,0.03013932845865619,0,0.0,485,370,0.015551675215540762,11,0.00020008003201280514,1,193.96808510638297,1043,26,3,0,10,0.03546099290780142,8147,1502,671,419,252,587,0.184362341966368,2.238450074515648,127,169,1
Chinese classifier,304719,36446,7023,164,9298,987,17.8,12.31,42.04,14.6,13.74,58.43,15.8,9,12,41,3602.222222222222,890.3170731707318,10146,2091,4469,0.12261976622949021,147,0.004033364429567031,2,120,0.003347418098008012,2,5.4875706524721505e-05,0,221.22560975609755,778,20,0,0,1,0.006097560975609756,7611,1253,328,213,115,271,0.16463014058599396,3.8201219512195124,57,336,1
Theodore II Laskaris,74220,34425,6105,254,8279,748,12.8,13.11,62.88,8.7,9.51,52.14,11.9,10,9,45,3213.0,766.1333333333333,17319,1336,2654,0.07709513435003632,0,0.0,0,287,0.008336964415395788,5,0.00014524328249818446,1,134.53149606299212,384,20,0,0,71,0.2795275590551181,7981,470,146,121,25,126,0.05888986342563589,3.219178082191781,16,28,1
Flag of Canada,97066,22159,4207,113,5686,564,14.7,10.86,54.05,12.1,13.03,53.0,14.3,9,4,37,2259.1111111111113,600.1081081081081,11672,1247,2078,0.093776794981723,111,0.0050092513200054156,2,216,0.009837989078929554,12,0.0005415406832438287,1,195.09734513274336,505,16,0,0,4,0.035398230088495575,7941,3715,1569,805,764,1335,0.4678252109306133,2.3677501593371573,852,495,1
Privy Council (United Kingdom),24451,29803,5360,138,7647,753,15.8,12.42,46.0,13.1,12.78,56.29,14.5,11,17,63,2631.181818181818,474.3015873015873,12259,1714,1599,0.05365231688085092,162,0.005435694393181895,7,346,0.011844445190081536,4,0.0001342146763748616,1,214.97101449275362,998,44,0,0,3,0.021739130434782608,8283,1252,624,450,174,530,0.1511529639019679,2.0064102564102564,62,134,1
Dilwale Dulhania Le Jayenge,274258,30147,5815,196,7423,571,12.4,10.44,58.72,10.3,10.71,46.54,11.9,14,8,40,2026.0,755.125,7667,61,2146,0.07118452914054467,148,0.004909277871761701,0,261,0.008657577868444621,3,9.95123892924669e-05,1,152.80612244897958,497,11,0,3,13,0.0663265306122449,7647,4526,1675,665,1010,1455,0.5918660912776252,2.7020895522388058,942,102,1
"Æthelberht, King of Wessex",48587,3815,710,22,939,73,14.2,10.86,54.76,11.8,12.46,52.84,12.7,11,0,5,240.1818181818182,764.2,2642,2642,1195,0.3132372214941022,0,0.0,0,44,0.011533420707732634,0,0.0,1,172.45454545454547,518,63,0,0,5,0.22727272727272727,8114,435,207,169,38,178,0.05361104264234656,2.101449275362319,45,44,1
