title,page_id,char_count,word_count,sentence_count,syllable_count,complex_word_count,ARI,CLI,FRE,FKG,GFI,LIX,SMOG,section_count,subsection_count,paragraph_count,mean_section_size,mean_paragraph_size,longest_section_size,shortest_section_size,abstract_size,abstract_text_ratio,citation_count,citation_per_text,external_link_count,internal_link_count,link_per_text,image_count,image_per_text,infobox,mean_sentence_size,largest_sentence_size,shortest_sentence_size,question_count,exclamation_count,pronoun_start_count,pronoun_start_count_sentence_ratio,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,review_per_day,review_per_user,revert_count,discussion_count,quality
Michael Tippett,147156,56871,10453,317,14454,1369,15.1,12.54,47.83,12.4,12.33,55.23,13.8,17,27,72,3279.529411764706,791.3194444444445,8286,358,2006,0.035272810395456385,288,0.00506409241968666,0,280,0.004923423185806474,9,0.0001582528881152081,0,178.41324921135646,675,9,0,0,43,0.13564668769716087,7896,1307,345,257,88,280,0.16552684903748732,3.7884057971014493,45,127,1
It's That Man Again,147644,34970,6781,182,8773,755,12.3,10.73,59.94,9.8,10.51,47.47,12.2,16,23,136,2108.875,258.00735294117646,10981,30,2208,0.06313983414355162,0,0.0,0,199,0.005690591935945096,4,0.00011438375750643409,1,191.1868131868132,1235,3,27,15,30,0.16483516483516483,7895,427,191,143,48,167,0.054084863837872074,2.235602094240838,23,63,1
Wendell Willkie,34134,67160,12401,393,16730,1553,14.2,12.07,57.1,10.9,11.35,53.55,13.3,13,10,81,4966.923076923077,830.0617283950618,20858,101,3276,0.04877903513996427,20,0.0002977963073257892,0,283,0.004213817748659917,12,0.00017867778439547348,1,169.83715012722647,576,17,2,2,66,0.16793893129770993,8189,1715,636,429,207,532,0.20942728049822934,2.6965408805031448,151,110,1
Battle of Tippecanoe,91853,19630,3525,131,4883,459,13.1,12.47,60.45,9.6,10.62,52.4,12.5,9,0,29,1999.3333333333333,677.9310344827586,6766,1273,1756,0.08945491594498217,97,0.004941416199694346,0,108,0.005501782985226694,6,0.0003056546102903719,1,148.82442748091603,423,26,0,0,18,0.13740458015267176,7946,1784,752,395,357,662,0.2245154794865341,2.372340425531915,276,185,1
243 Ida,47263,18584,3450,139,4767,468,10.2,10.55,64.51,8.0,9.07,44.61,11.8,12,12,38,1412.3333333333333,490.6842105263158,4287,734,2063,0.11100947051226862,186,0.010008609556607834,0,112,0.006026689625484288,6,0.0003228583727938011,1,132.70503597122303,405,35,0,0,0,0.0,8122,887,340,264,76,285,0.10920955429697118,2.6088235294117648,108,59,1
Bee-eater,63229,24796,4448,144,5842,459,13.6,11.84,58.72,10.3,11.05,51.43,11.9,10,4,45,2343.0,552.0888888888888,5224,1261,1687,0.0680351669624133,86,0.0034683013389256332,0,215,0.008670753347314084,12,0.00048394902403613486,0,171.20138888888889,828,37,0,0,1,0.006944444444444444,8012,668,271,207,64,233,0.08337493759360959,2.4649446494464944,47,67,1
Rebecca Clarke (composer),275536,15554,2933,95,3907,352,13.7,11.43,57.71,10.7,11.61,51.14,13.0,7,0,41,2088.8571428571427,379.9512195121951,4662,997,1086,0.06982126784106982,61,0.003921820753503922,0,106,0.006814967211006815,3,0.00019287643050019287,0,162.74736842105264,1034,39,1,0,27,0.28421052631578947,7645,464,215,170,45,185,0.060693263570961414,2.158139534883721,40,83,1
James Russell Lowell,254091,35812,6854,231,9081,760,13.4,11.02,57.81,10.6,11.64,49.64,12.7,10,8,59,3378.3,607.8983050847457,24013,506,2478,0.06919468334636435,205,0.005724338210655646,4,222,0.006310733832235005,8,0.00022338880822070814,1,154.05194805194805,555,4,2,1,60,0.2597402597402597,7671,1073,448,275,173,399,0.13987746056576716,2.3950892857142856,139,65,1
Deinonychus,236856,35664,6165,181,8758,844,15.9,13.87,48.23,12.2,12.12,54.98,13.8,12,9,45,2808.9166666666665,793.9777777777778,7413,1021,2356,0.06606101390758187,124,0.003476895468820099,6,215,0.006196724988784208,43,0.001205697622252131,0,196.04972375690608,513,15,0,0,4,0.022099447513812154,7699,2050,699,409,290,568,0.2662683465385115,2.932761087267525,272,638,1
Louis Rwagasore,200155,32491,5507,192,8707,1042,16.3,14.8,31.82,14.4,12.58,59.96,15.6,7,9,28,4352.285714285715,1161.9285714285713,13606,1443,2379,0.07322027638422948,35,0.0010772213843833678,0,124,0.003816441476101074,6,0.00018466652303714874,1,168.23958333333334,538,43,1,1,20,0.10416666666666667,7767,526,160,123,37,136,0.06772241534698081,3.2875,20,25,1
