,title,page_id,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,revert_count,discussion_count,quality
229,Eadred,58521,8123,436,223,185,38,189,28,60,FA
230,Natalie Clifford Barney,179513,7813,1053,359,272,87,315,48,148,FA
231,Lettuce,57079,8049,2609,1361,755,606,1204,647,161,FA
232,DNA,7955,8269,6339,2570,1521,1049,2147,1279,708,FA
233,Evelyn Waugh,63376,8011,2371,973,582,391,818,209,203,FA
234,Aldwych tube station,211671,7742,762,349,235,114,299,88,66,FA
235,Leonhard Euler,17902,8399,5173,2404,1206,1198,2086,1026,563,FA
236,"John Churchill, 1st Duke of Marlborough",142292,7911,1622,742,518,224,606,130,144,FA
237,Manchester United F.C.,19961,8308,21330,5500,3582,1918,4190,3561,3575,FA
238,David I of Scotland,147976,7894,1115,476,327,149,408,130,222,FA
239,Ice dance,39577,8165,859,286,173,113,246,75,102,FA
240,Charles Villiers Stanford,214042,7738,814,353,246,107,301,78,81,FA
241,"Lock Haven, Pennsylvania",132071,7917,1400,279,202,77,234,86,69,FA
242,John McCain,43715,8144,11646,3880,2706,1174,3169,1491,6471,FA
243,Final Fantasy V,52767,8073,2084,711,396,316,594,151,188,FA
244,Guy Fawkes,12707,8296,6109,2898,1290,1608,2545,1235,1083,FA
245,George I of Great Britain,46852,8124,2794,1124,628,496,954,410,356,FA
246,Apatosaurus,1346,8358,2415,933,533,400,800,374,529,FA
247,Aston Villa F.C.,42173,8155,14331,4895,1981,2914,3998,2156,415,FA
248,Tim Duncan,221812,7724,7275,2819,1178,1641,2423,1548,292,FA
249,Forest raven,212019,7742,527,180,136,44,151,49,28,FA
250,Prince Albert of Saxe-Coburg and Gotha,76811,8347,3109,1271,720,551,1102,363,340,FA
251,Enid Blyton,10258,8233,4453,1484,747,737,1291,520,399,FA
252,Jacques Plante,167874,7838,1308,499,304,195,415,188,78,FA
253,Casablanca (film),57585,8047,5269,1971,1138,833,1675,691,766,FA
