,title,page_id,doc2vec,quality
29,USS Iowa (BB-61),204679,"[-3.3004916  -0.96956027  1.5252358  -0.66801745  1.9416888   2.419266
  2.1875505   2.9133556  -2.5395236   0.74985033 -2.703446    2.1033003
 -3.0729506  -2.2394824  -1.6985757   1.8538136   2.481151    2.4245136
  3.1481292  -2.9822419  -0.10836612 -1.3014512  -1.4050947   2.0137246
  1.7717037   2.8173485  -3.0401223  -7.082137    4.724458   -4.838743
  0.56351936 -1.3628515   2.4897156  -3.8282838  -4.0388174   1.7955381
 -0.74078673 -2.7263632  -3.3526618  -2.5294118   3.1228251   6.100057
 -0.85796934 -4.5030475   2.619292    2.5091312   1.9498341   2.2224941
 -4.6895885  -0.059104  ]",1
30,Richard Nixon,25473,"[-7.531704   -4.542946    1.7068672   0.13759159 -1.2917194  -2.8909569
  0.9585018   2.2191978  -2.855802    3.0412068  -3.4033449   6.3128133
 -1.8692908  -2.1991796   2.042986    1.2297609  -3.532957    2.2462857
  0.9807591   0.33257547  0.64863664 -2.460022   -2.9398916  -0.14304972
 -1.2862853  -1.1733325   0.50554734 -1.7227471  -0.7795757  -1.3619281
 -2.2051458  -3.665943   -0.685202   -0.23686033 -0.7781746   2.3148894
  1.1284838  -0.9568817  -7.0817533  -1.0885706   2.14514     2.4756029
 -2.3026464   1.2139878  -0.40141612  1.2165538   1.8290746   0.3259373
 -1.7749288   3.3576074 ]",1
31,Sagitta,28163,"[-2.9541264   1.0466284  -2.512539    0.3449801  -1.7239258  -0.37200627
  2.4668891   2.6809409  -0.14715424 -1.3196812   2.0251014   1.9518194
 -0.4038652  -2.584393    4.133933    1.6476831   1.5602394   0.42044622
  0.593336    1.6298879  -0.8106829  -0.13208416 -3.7274213   1.4645975
  0.622412    0.13706884 -4.290245   -2.4666126  -4.779459   -0.05321112
  1.2899029   0.3722919   0.13603641 -1.9184939  -0.4487986   2.5527143
 -0.29614845 -1.2858641   0.7699324   4.612056    0.1972402  -0.44344628
 -3.8800485  -0.657863    1.3850667  -0.10075839 -1.3836175   0.29664207
  1.925181   -1.5807788 ]",1
32,Chicxulub crater,174609,"[-3.65808940e+00 -2.76006508e+00 -4.21704817e+00 -3.33199603e-03
 -1.65841985e+00 -1.47410619e+00  1.81939197e+00  4.31546593e+00
  5.89658499e-01  3.52089596e+00  4.56626272e+00 -1.50509524e+00
 -3.98800373e+00 -2.79639459e+00 -4.70494740e-02 -6.91304207e-02
  3.56200099e+00 -3.12113129e-02  8.61914217e-01  1.98924506e+00
 -2.99688625e+00 -4.01718348e-01 -7.99063802e-01  6.98355615e-01
 -5.49971819e-01  1.52807224e+00  1.18237495e-01  1.06772757e+00
 -4.72391891e+00 -5.47702503e+00 -1.69916368e+00 -1.14020824e+00
  1.53366292e+00 -6.62115669e+00 -1.08143914e+00  1.77545512e+00
 -4.65589380e+00 -7.00249100e+00  2.61474729e+00  4.54623890e+00
  3.12211847e+00  8.22709382e-01 -3.20898008e+00 -1.58066940e+00
 -7.78671682e-01  4.22413439e-01  4.62903833e+00  9.24480081e-01
 -3.96744084e+00  7.44041145e-01]",1
33,Tower of London,31165,"[-1.3548772  -3.6379852  -1.9419214   0.8576804   3.2737596  -3.0732143
 -0.07452272  4.072378   -1.3637913  -0.15559663  3.9747033   1.6965622
 -2.227202    2.5776565   1.5487195  -0.9710315  -3.9388864   1.7366881
 -3.3099425   2.0469835  -3.401195   -1.3633648   0.5451914  -0.7052533
 -3.712138    7.8539286  -1.619674   -2.1349115   0.2350555   4.968994
 -0.50607884  6.1563315   2.4440248   0.49270186  0.8333288   5.261017
 -2.5035582  -1.2218618  -0.087813    1.8078022  -3.7456212   6.50305
  3.5273383  -2.5265813  -0.16829148  7.4289427  -2.8216395   4.515011
  3.910945   -1.7649928 ]",1
34,Canis Minor,6367,"[-0.9880404   0.7190694  -2.9015362  -1.0484545  -1.5389036  -1.9234334
  4.597688    2.850392   -0.09253417  0.34196696  1.8046104   1.0868653
  0.15878521 -2.0166695   3.1408143   2.3046548   1.6185658   0.17850967
 -0.43707928  1.2967105  -1.142181    0.7038061  -3.445018    0.7257753
  0.4872235  -0.6272284  -4.954114   -1.7699277  -4.143756    0.12313952
  1.5473691   1.9999243  -0.99502677 -2.0176048  -0.279345    2.9807534
 -0.5018803  -1.2393066  -0.2979914   5.0403953  -1.5563293  -0.02785883
 -5.864615   -2.7188213   0.71256524  0.20766316 -1.7710347  -1.5467393
  2.179625    0.06629501]",1
35,Emily Davison,60559,"[-4.063539   -2.8507848   0.33175534 -4.547699    0.28401953 -1.738225
  0.62107164  1.0248255  -4.393393    1.1973451  -0.81145144  3.0027657
 -5.9705415   4.4543543   1.2908444  -4.308978   -0.6769882   2.500656
 -1.487874    1.179647   -3.2073238   3.2908452   0.39150402 -0.742439
  1.6426543   2.0905435  -3.2593064   0.614543   -0.5569785   3.782847
 -1.3899356   0.86478984  1.0821589   3.8624954   2.94855     0.36875126
 -0.21965526 -1.778871   -2.2238157  -1.9323044  -1.8988657   3.0253925
  0.24484672 -2.1762156  -3.7771091   4.8731346   1.3902036   1.4882859
  1.351096    0.6062755 ]",1
36,Katharine Hepburn,43337,"[-3.9705293  -8.4505205   2.0664952  -0.81990176  0.59811425 -0.472415
 -0.174007   -0.3775913  -5.6417255   4.015235    0.02278244  2.8828862
  2.0053625  -1.4204215   0.42507914 -2.8871162   2.3686898   4.8223157
 -0.7821477   0.51581955  3.0415132  -5.568377   -1.7702816   0.70052737
 -6.2879567   2.2474427  -3.0062335   0.3406324   0.6701805   3.7128224
  0.18469068 -0.05057924  1.61326     0.7022068  -0.42818058 -0.22279774
  1.7682701   1.3732079  -5.492842    1.8420107  -2.7724144   3.5739474
 -4.9023557  -3.3300576  -1.4001809   0.21754077  4.9418426  -0.85091716
  3.4216495  -2.0757773 ]",1
37,Serpens,28149,"[-3.8668306   0.07424184 -3.6290855   2.48162    -2.055413   -3.012706
  5.3379045   3.5390973  -1.06191    -0.46820346  3.5939643   1.5483029
 -0.20009989 -3.168891    4.7351274   2.432175    2.622576   -0.29587787
  1.5223548   4.262548   -2.2340984  -1.4486787  -4.280075    2.487204
 -0.5546934  -0.91662556 -4.8628335  -3.061326   -6.5354996  -1.4024768
  1.8548349   2.5974617   2.2965252  -3.5780864   0.8803833   4.100193
 -2.2219157  -2.384793    0.3615033   5.817099    1.2369331  -3.9423466
 -7.286148   -1.2043805   2.3431325  -0.9968952  -0.21153052 -2.2467191
  3.3763025  -2.5555973 ]",1
38,Bobcat,171808,"[-1.2854605   0.48970452 -3.8638418  -1.5112462   2.1360276   0.5091521
  2.4726894   4.5555496  -2.5231438   5.2908072   2.194357   -2.3473973
  1.7206868  -2.3304365   3.207995   -4.996084   -1.3211439   2.1542926
 -3.9836566  -2.1182845  -0.6338765  -2.649207   -1.7822073   1.8964934
 -1.491839   -1.8005475  -1.169054   -1.2865618  -1.0825382  -0.49399894
  4.536558    2.1337485  -0.06266601 -3.685609   -1.3374916   1.2533867
 -2.822052    1.7575632  -3.144921    1.2972349   1.3380119   0.34346628
 -2.057523   -1.4804846   4.7181253   5.6099043   3.9695678  -2.6496773
 -0.4981555  -0.46720573]",1
